inchikey_block1,dilirank_name,dilirank_label,livertox_name,livertox_label,resolved_to
UZWDCWONPYILKI,Abemaciclib,1,Abemaciclib,0,"dilirank (menang, aturan konflik tetap)"
AFCGFAGUEYAMAO,Acamprosate calcium,1,Acamprosate,0,"dilirank (menang, aturan konflik tetap)"
STUWGJZDJHPWGZ,Alpelisib,1,Alpelisib,0,"dilirank (menang, aturan konflik tetap)"
NTJOBXMMWNYJFB,Amisulpride,1,Amisulpride,0,"dilirank (menang, aturan konflik tetap)"
KWTSXDURSIMDCE,Amphetamine sulfate,1,Dextroamphetamine,0,"dilirank (menang, aturan konflik tetap)"
SFOZKJGZNOBSHF,Auranofin,1,Auranofin,0,"dilirank (menang, aturan konflik tetap)"
HDWIHXWEUNVBIY,Bendroflumethiazide,1,Bendroflumethiazide,0,"dilirank (menang, aturan konflik tetap)"
YXKTVDFXDRQTKV,Benzphetamine hydrochloride,0,Benzphetamine,1,"dilirank (menang, aturan konflik tetap)"
XTNGUQKDFGDXSJ,Canagliflozin,1,Canagliflozin,0,"dilirank (menang, aturan konflik tetap)"
GAGWJHPBXLXJQN,Capecitabine,1,Capecitabine,0,"dilirank (menang, aturan konflik tetap)"
LIOLIMKSCNQPLV,Capmatinib hydrochloride,1,Capmatinib,0,"dilirank (menang, aturan konflik tetap)"
ZCCUWMICIWSJIX,Ceftaroline fosamil,1,Ceftaroline,0,"dilirank (menang, aturan konflik tetap)"
WIIZWVCIJKGZOK,Chloramphenicol,0,Chloramphenicol,1,"dilirank (menang, aturan konflik tetap)"
WFNAKBGANONZEQ,Chlorcyclizine hydrochloride,1,Chlorcyclizine,0,"dilirank (menang, aturan konflik tetap)"
PTOAARAWEBMLNO,Cladribine,1,Cladribine,0,"dilirank (menang, aturan konflik tetap)"
VNFPBHJOKIVQEB,Clotrimazole,1,Clotrimazole,0,"dilirank (menang, aturan konflik tetap)"
IMZMKUWMOSJXDT,Cromoglicate,1,Cromolyn,0,"dilirank (menang, aturan konflik tetap)"
JURKNVYFZMSNLP,Cyclobenzaprine hydrochloride,1,Cyclobenzaprine,0,"dilirank (menang, aturan konflik tetap)"
LVXJQMNHJWSHET,Dacomitinib,1,Dacomitinib,0,"dilirank (menang, aturan konflik tetap)"
UBQYURCVBFRUQT,Deferoxamine mesylate,1,Deferoxamine,0,"dilirank (menang, aturan konflik tetap)"
JAUOIFJMECXRGI,Desloratadine,1,Desloratadine,0,"dilirank (menang, aturan konflik tetap)"
KYYIDSXMWOZKMP,Desvenlafaxine succinate,1,Desvenlafaxine,0,"dilirank (menang, aturan konflik tetap)"
IXTMWRCNAAVVAI,Dofetilide,1,Dofetilide,0,"dilirank (menang, aturan konflik tetap)"
RUZYUOTYCVRMRZ,Doxazosin mesylate,1,Doxazosin,0,"dilirank (menang, aturan konflik tetap)"
SVOQIEJWJCQGDQ,Eltrombopag olamine,1,Eltrombopag,0,"dilirank (menang, aturan konflik tetap)"
JUKPWJGBANNWMW,Eplerenone,1,Eplerenone,0,"dilirank (menang, aturan konflik tetap)"
GBBSUAFBMRNDJC,Eszopiclone,1,Eszopiclone,0,"dilirank (menang, aturan konflik tetap)"
HKVAMNSJSFKALM,Everolimus,1,Everolimus,0,"dilirank (menang, aturan konflik tetap)"
RZTAMFZIAATZDJ,Felodipine,1,Felodipine,0,"dilirank (menang, aturan konflik tetap)"
DBEPLOCGEIEOCV,Finasteride,1,Finasteride,0,"dilirank (menang, aturan konflik tetap)"
SPIUTQOUKAMGCX,Flavoxate hydrochloride,1,Flavoxate,0,"dilirank (menang, aturan konflik tetap)"
KANJSNBRCNMZMV,Fondaparinux sodium,1,Fondaparinux,0,"dilirank (menang, aturan konflik tetap)"
SHGAZHPCJJPHSC,Isotretinoin,1,Tretinoin,0,"dilirank (menang, aturan konflik tetap)"
HMJIYCCIJYRONP,Isradipine,1,Isradipine,0,"dilirank (menang, aturan konflik tetap)"
YQEZLKZALYSWHR,Ketamine hydrochloride,1,Esketamine,0,"dilirank (menang, aturan konflik tetap)"
JTEGQNOMFQHVDC,Lamivudine,1,Lamivudine,0,"dilirank (menang, aturan konflik tetap)"
