hepatwin_id,lookup_ms,ai_inference_ms,shap_ms,pbpk_ms,parallel_wall_ms,exposure_eval_ms,fusion_ms,total_ms,visual_color
HT0001,2111.38,22.17,5.12,12.26,15.11,0.02,0.01,2136.3,red
HT0001,0.03,33.02,8.86,18.45,33.28,0.02,0.01,33.87,red
HT0001,0.02,30.19,21.82,16.06,30.44,0.01,0.01,30.95,red
HT0030,343.85,12.47,4.45,0.37,12.69,0.01,0.01,357.04,red
HT0030,0.03,19.13,9.93,0.51,19.41,0.02,0.01,19.96,red
HT0030,0.02,14.6,8.02,0.52,14.78,0.01,0.01,15.28,red
HT0057,197.01,9.21,4.13,0.37,9.45,0.02,0.01,206.91,red
HT0057,0.03,10.99,4.6,0.48,11.22,0.02,0.01,11.76,red
HT0057,0.01,8.9,4.74,0.48,9.08,0.01,0.01,9.55,red
HT0083,205.05,48.78,35.64,0.37,49.07,0.02,0.01,254.55,red
HT0083,0.02,68.62,51.57,12.32,68.93,0.02,0.01,69.38,red
HT0083,0.02,75.6,51.58,1.5,75.9,0.02,0.01,76.47,red
HT0107,263.47,11.36,5.49,0.4,11.6,0.02,0.01,275.59,red
HT0107,0.03,18.47,8.39,0.51,18.76,0.02,0.01,19.34,red
HT0107,0.02,15.32,7.46,0.54,15.55,0.02,0.01,16.1,red
HT0131,151.4,12.57,6.5,0.52,12.82,0.02,0.01,164.78,red
HT0131,0.02,14.83,4.89,0.49,15.07,0.02,0.01,15.6,red
HT0131,0.02,10.85,5.72,0.5,11.05,0.01,0.01,11.54,red
HT0160,124.37,14.5,7.12,0.55,14.76,0.02,0.01,139.7,red
HT0160,0.02,14.51,7.47,0.52,14.74,0.02,0.01,15.3,red
HT0160,0.01,13.76,7.24,0.5,13.97,0.01,0.01,14.48,red
HT0186,127.83,12.06,6.09,0.51,12.33,0.02,0.01,140.72,red
HT0186,0.02,10.93,5.49,0.47,11.14,0.02,0.01,11.65,red
HT0186,0.01,11.46,6.03,0.52,11.66,0.01,0.01,12.16,red
HT0211,122.46,16.09,8.16,0.59,16.39,0.02,0.01,139.44,red
HT0211,0.03,15.85,8.03,0.55,16.1,0.02,0.01,16.7,red
HT0211,0.01,15.14,7.64,0.55,15.34,0.02,0.01,15.85,red
HT0236,135.7,12.42,6.18,0.51,12.71,0.02,0.01,149.02,red
HT0236,0.03,11.51,5.93,0.5,11.72,0.02,0.01,12.27,red
HT0236,0.02,11.25,5.78,0.51,11.43,0.01,0.01,11.94,red
HT0262,127.48,12.88,6.32,0.54,13.14,0.02,0.01,141.19,red
HT0262,0.02,12.29,6.0,0.52,12.54,0.02,0.01,13.1,red
HT0262,0.02,11.79,6.22,0.53,12.0,0.01,0.01,12.51,red
