usia,tinggi,bmi,berat,jk,dosis_mg_per_kg,dosis_mg,exposure_index,exposure_category
18,150,16,36.0,L,0.5,18.0,3.6638097424419493,LOW_EXPOSURE
18,150,16,36.0,L,1,36.0,4.867774781872519,LOW_EXPOSURE
18,150,16,36.0,L,3,108.0,6.931702692640078,LOW_EXPOSURE
18,150,16,36.0,L,5,180.0,7.92538595728791,LOW_EXPOSURE
18,150,16,36.0,L,8,288.0,8.849453998460657,MODERATE_EXPOSURE
18,150,16,36.0,L,10,360.0,9.290394143744901,MODERATE_EXPOSURE
18,150,16,36.0,L,15,540.0,10.09416839508454,MODERATE_EXPOSURE
18,150,16,36.0,L,30,1080.0,11.47327602332452,HIGH_EXPOSURE
18,150,16,36.0,L,50,1800.0,12.492043896654714,HIGH_EXPOSURE
18,150,16,36.0,P,0.5,18.0,3.645085736258182,LOW_EXPOSURE
18,150,16,36.0,P,1,36.0,4.846731364011555,LOW_EXPOSURE
18,150,16,36.0,P,3,108.0,6.908742486232756,LOW_EXPOSURE
18,150,16,36.0,P,5,180.0,7.901997169955879,LOW_EXPOSURE
18,150,16,36.0,P,8,288.0,8.825816623555522,MODERATE_EXPOSURE
18,150,16,36.0,P,10,360.0,9.266672661493795,MODERATE_EXPOSURE
18,150,16,36.0,P,15,540.0,10.070333781561935,MODERATE_EXPOSURE
18,150,16,36.0,P,30,1080.0,11.44932713313975,HIGH_EXPOSURE
18,150,16,36.0,P,50,1800.0,12.468048971100565,HIGH_EXPOSURE
18,150,18.5,41.6,L,0.5,20.8,3.7049026424104183,LOW_EXPOSURE
18,150,18.5,41.6,L,1,41.6,4.91193695254209,LOW_EXPOSURE
18,150,18.5,41.6,L,3,124.9,6.978241499786524,LOW_EXPOSURE
18,150,18.5,41.6,L,5,208.1,7.972438647384003,LOW_EXPOSURE
18,150,18.5,41.6,L,8,333.0,8.896802007209446,MODERATE_EXPOSURE
18,150,18.5,41.6,L,10,416.2,9.337841622941859,MODERATE_EXPOSURE
18,150,18.5,41.6,L,15,624.4,10.141749316903407,MODERATE_EXPOSURE
18,150,18.5,41.6,L,30,1248.8,11.520991330500344,HIGH_EXPOSURE
18,150,18.5,41.6,L,50,2081.2,12.539813224642018,HIGH_EXPOSURE
18,150,18.5,41.6,P,0.5,20.8,3.6868941185435133,LOW_EXPOSURE
18,150,18.5,41.6,P,1,41.6,4.891790530613606,LOW_EXPOSURE
18,150,18.5,41.6,P,3,124.9,6.956337519314161,LOW_EXPOSURE
18,150,18.5,41.6,P,5,208.1,7.950142759681925,LOW_EXPOSURE
18,150,18.5,41.6,P,8,333.0,8.874278977138262,MODERATE_EXPOSURE
18,150,18.5,41.6,P,10,416.2,9.315241769899785,MODERATE_EXPOSURE
18,150,18.5,41.6,P,15,624.4,10.119046153345515,MODERATE_EXPOSURE
18,150,18.5,41.6,P,30,1248.8,11.498183836776256,HIGH_EXPOSURE
18,150,18.5,41.6,P,50,2081.2,12.51696370985675,HIGH_EXPOSURE
18,150,22,49.5,L,0.5,24.8,3.7528686395911266,LOW_EXPOSURE
18,150,22,49.5,L,1,49.5,4.963392500113691,LOW_EXPOSURE
18,150,22,49.5,L,3,148.5,7.032392873321443,LOW_EXPOSURE
18,150,22,49.5,L,5,247.5,8.027172217563262,LOW_EXPOSURE
18,150,22,49.5,L,8,396.0,8.951870042381216,MODERATE_EXPOSURE
18,150,22,49.5,L,10,495.0,9.393022295575312,MODERATE_EXPOSURE
18,150,22,49.5,L,15,742.5,10.197081081538371,MODERATE_EXPOSURE
18,150,22,49.5,L,30,1485.0,11.576475237695846,HIGH_EXPOSURE
18,150,22,49.5,L,50,2475.0,12.595358285999758,HIGH_EXPOSURE
18,150,22,49.5,P,0.5,24.8,3.7355356836144558,LOW_EXPOSURE
18,150,22,49.5,P,1,49.5,4.944121359819079,LOW_EXPOSURE
18,150,22,49.5,P,3,148.5,7.011539397506305,LOW_EXPOSURE
18,150,22,49.5,P,5,247.5,8.005967171947164,LOW_EXPOSURE
18,150,22,49.5,P,8,396.0,8.93046143690436,MODERATE_EXPOSURE
18,150,22,49.5,P,10,495.0,9.371544876564188,MODERATE_EXPOSURE
18,150,22,49.5,P,15,742.5,10.175511149517451,MODERATE_EXPOSURE
18,150,22,49.5,P,30,1485.0,11.554811910330386,HIGH_EXPOSURE
18,150,22,49.5,P,50,2475.0,12.57365735048855,HIGH_EXPOSURE
18,150,25,56.2,L,0.5,28.1,3.7873191585468553,LOW_EXPOSURE
18,150,25,56.2,L,1,56.2,5.000293855421559,LOW_EXPOSURE
18,150,25,56.2,L,3,168.8,7.071184246272345,LOW_EXPOSURE
18,150,25,56.2,L,5,281.2,8.06637138708799,LOW_EXPOSURE
18,150,25,56.2,L,8,450.0,8.991303426141823,MODERATE_EXPOSURE
18,150,25,56.2,L,10,562.5,9.432534545596944,MODERATE_EXPOSURE
18,150,25,56.2,L,15,843.8,10.23669911505117,MODERATE_EXPOSURE
18,150,25,56.2,L,30,1687.5,11.616199781208039,HIGH_EXPOSURE
18,150,25,56.2,L,50,2812.5,12.635125638979495,HIGH_EXPOSURE
18,150,25,56.2,P,0.5,28.1,3.7703491493025036,LOW_EXPOSURE
18,150,25,56.2,P,1,56.2,4.981520675336011,LOW_EXPOSURE
18,150,25,56.2,P,3,168.8,7.050947342433897,LOW_EXPOSURE
18,150,25,56.2,P,5,281.2,8.045810220284649,LOW_EXPOSURE
18,150,25,56.2,P,8,450.0,8.970554662850466,MODERATE_EXPOSURE
18,150,25,56.2,P,10,562.5,9.411722390253054,MODERATE_EXPOSURE
18,150,25,56.2,P,15,843.8,10.21580175517457,MODERATE_EXPOSURE
18,150,25,56.2,P,30,1687.5,11.595216427140308,HIGH_EXPOSURE
18,150,25,56.2,P,50,2812.5,12.614107663533957,HIGH_EXPOSURE
18,150,28,63.0,L,0.5,31.5,3.81704491634271,LOW_EXPOSURE
18,150,28,63.0,L,1,63.0,5.032102289352464,LOW_EXPOSURE
18,150,28,63.0,L,3,189.0,7.104597131755874,LOW_EXPOSURE
18,150,28,63.0,L,5,315.0,8.100130270523858,LOW_EXPOSURE
18,150,28,63.0,L,8,504.0,9.025261000976545,MODERATE_EXPOSURE
18,150,28,63.0,L,10,630.0,9.466559020372937,MODERATE_EXPOSURE
18,150,28,63.0,L,15,945.0,10.270813319052934,MODERATE_EXPOSURE
18,150,28,63.0,L,30,1890.0,11.650404326268943,HIGH_EXPOSURE
18,150,28,63.0,L,50,3150.0,12.669366493491726,HIGH_EXPOSURE
18,150,28,63.0,P,0.5,31.5,3.800295859501092,LOW_EXPOSURE
18,150,28,63.0,P,1,63.0,5.013660734956941,LOW_EXPOSURE
18,150,28,63.0,P,3,189.0,7.084789271633191,LOW_EXPOSURE
18,150,28,63.0,P,5,315.0,8.080020585201463,LOW_EXPOSURE
18,150,28,63.0,P,8,504.0,9.004976836821182,MODERATE_EXPOSURE
18,150,28,63.0,P,10,630.0,9.446215919257607,MODERATE_EXPOSURE
18,150,28,63.0,P,15,945.0,10.250391019171543,MODERATE_EXPOSURE
18,150,28,63.0,P,30,1890.0,11.629902114150152,HIGH_EXPOSURE
18,150,28,63.0,P,50,3150.0,12.648832114398914,HIGH_EXPOSURE
18,150,30,67.5,L,0.5,33.8,3.8347044835124384,LOW_EXPOSURE
18,150,30,67.5,L,1,67.5,5.050987289449399,LOW_EXPOSURE
18,150,30,67.5,L,3,202.5,7.1244256983466645,LOW_EXPOSURE
18,150,30,67.5,L,5,337.5,8.120162262629432,LOW_EXPOSURE
18,150,30,67.5,L,8,540.0,9.045409802857465,MODERATE_EXPOSURE
18,150,30,67.5,L,10,675.0,9.486747151021811,MODERATE_EXPOSURE
18,150,30,67.5,L,15,1012.5,10.29105419811063,MODERATE_EXPOSURE
18,150,30,67.5,L,30,2025.0,11.670698312119711,HIGH_EXPOSURE
18,150,30,67.5,L,50,3375.0,12.689681823408812,HIGH_EXPOSURE
18,150,30,67.5,P,0.5,33.8,3.8180430127995573,LOW_EXPOSURE
18,150,30,67.5,P,1,67.5,5.03269648212625,LOW_EXPOSURE
18,150,30,67.5,P,3,202.5,7.104824293033557,LOW_EXPOSURE
18,150,30,67.5,P,5,337.5,8.100271870354801,LOW_EXPOSURE
18,150,30,67.5,P,8,540.0,9.025352438050339,MODERATE_EXPOSURE
18,150,30,67.5,P,10,675.0,9.466633398692585,MODERATE_EXPOSURE
18,150,30,67.5,P,15,1012.5,10.270864683905131,MODERATE_EXPOSURE
18,150,30,67.5,P,30,2025.0,11.650432366245562,HIGH_EXPOSURE
18,150,30,67.5,P,50,3375.0,12.669385115182934,HIGH_EXPOSURE
18,150,33,74.2,L,0.5,37.1,3.8584772818830353,LOW_EXPOSURE
18,150,33,74.2,L,1,74.2,5.076398695018888,LOW_EXPOSURE
18,150,33,74.2,L,3,222.8,7.151098549067957,LOW_EXPOSURE
18,150,33,74.2,L,5,371.2,8.147107042620853,LOW_EXPOSURE
18,150,33,74.2,L,8,594.0,9.072510723841749,MODERATE_EXPOSURE
18,150,33,74.2,L,10,742.5,9.513900642469675,MODERATE_EXPOSURE
18,150,33,74.2,L,15,1113.8,10.3182781973487,MODERATE_EXPOSURE
18,150,33,74.2,L,30,2227.5,11.697993297490488,HIGH_EXPOSURE
18,150,33,74.2,L,50,3712.5,12.717005338503274,HIGH_EXPOSURE
18,150,33,74.2,P,0.5,37.1,3.841879149716438,LOW_EXPOSURE
18,150,33,74.2,P,1,74.2,5.058253206107554,LOW_EXPOSURE
18,150,33,74.2,P,3,222.8,7.131714927306351,LOW_EXPOSURE
18,150,33,74.2,P,5,371.2,8.127451145528198,LOW_EXPOSURE
18,150,33,74.2,P,8,594.0,9.052697626554457,MODERATE_EXPOSURE
18,150,33,74.2,P,10,742.5,9.494034476929638,MODERATE_EXPOSURE
18,150,33,74.2,P,15,1113.8,10.298340744773816,MODERATE_EXPOSURE
18,150,33,74.2,P,30,2227.5,11.677983945117093,HIGH_EXPOSURE
18,150,33,74.2,P,50,3712.5,12.696967052707585,HIGH_EXPOSURE
18,150,37,83.2,L,0.5,41.6,3.885921734410563,LOW_EXPOSURE
18,150,37,83.2,L,1,83.2,5.105724391694764,LOW_EXPOSURE
18,150,37,83.2,L,3,249.8,7.181872646491397,LOW_EXPOSURE
18,150,37,83.2,L,5,416.2,8.178193390669982,LOW_EXPOSURE
18,150,37,83.2,L,8,666.0,9.10377636818887,MODERATE_EXPOSURE
18,150,37,83.2,L,10,832.5,9.545226653804498,MODERATE_EXPOSURE
18,150,37,83.2,L,15,1248.8,10.349685173570164,MODERATE_EXPOSURE
18,150,37,83.2,L,30,2497.5,11.729481788289906,HIGH_EXPOSURE
18,150,37,83.2,L,50,4162.5,12.74852659058017,HIGH_EXPOSURE
18,150,37,83.2,P,0.5,41.6,3.869314696795527,LOW_EXPOSURE
18,150,37,83.2,P,1,83.2,5.087660345298114,LOW_EXPOSURE
